id_user,name,username,rating,date,nama_objek,id_objek
4363,Compass73198,/Profile/Compass73198,1,19-Sep,Agrowisata Teba Sari Bali,998
6237,Emc921,/Profile/Emc921,1,Okt 2019,Agrowisata Teba Sari Bali,998
7446,gaddavino,/Profile/gaddavino,1,Agt 2019,Agrowisata Teba Sari Bali,998
10391,K&C,/Profile/963kristyb,1,Okt 2019,Agrowisata Teba Sari Bali,998
12803,Michael H,/Profile/MichaelH15353,1,19-Jul,Agrowisata Teba Sari Bali,998
16435,Rona,/Profile/Ronaindonesia,1,19-Jul,Agrowisata Teba Sari Bali,998
11566,Lindsay H,/Profile/986lindsayh,1,19-Jan,Air Panas Banjar,997
11788,Lucinda J,/Profile/391lucindaj,1,17-Jun,Air Panas Banjar,997
9792,Jenny E,/Profile/jennye467,1,Mei 2019,Air Terjun Aling-Aling,996
10408,kadek,/Profile/su1214ni,1,19-Jun,Air Terjun Aling-Aling,996
19694,Voilà ce que j'en pense,/Profile/Vcqjp,1,Agt 2019,Air Terjun Aling-Aling,996
641,Ad K,/Profile/165adk,1,16-Apr,Air Terjun Cunca Wulang,993
9781,Jennifer S,/Profile/W7141BZjennifers,1,17-Jul,Air Terjun Cunca Wulang,993
10703,Kerem A,/Profile/kerema527,1,Okt 2019,Air Terjun Cunca Wulang,993
11280,Ledyna K,/Profile/ledynak,1,21-Jan,Air Terjun Cunca Wulang,993
13736,Nazdabisnis,/Profile/Nazdabisnis,1,19-Jul,Air Terjun Cunca Wulang,993
14948,Piotrek,/Profile/szwagrowski,1,Des 2019,Air Terjun Cunca Wulang,993
3527,Booktings,/Profile/Booktings,1,Okt 2019,Air Terjun Kanto Lampo,992
11313,Lelom Pol A,/Profile/LelomPolA,1,Okt 2018,Air Terjun Kanto Lampo,992
11116,l0vely99,/Profile/l0vely99,1,16-Jun,Air Terjun Sendang Gile dan Tiu Kelep,989
18048,Sujana B,/Profile/SujanaB3,1,Des 2015,Air Terjun Sendang Gile dan Tiu Kelep,989
579,ABee711,/Profile/ABee711,1,Okt 2018,Air Terjun Tukad Cepung,985
12570,Megane S,/Profile/Meganetraveltheworld,1,Des 2019,Air Terjun Tukad Cepung,985
571,Abdullah M,/Profile/Vacationer757399,1,19-Jul,Airport Railink Services,984
6060,Ekky F,/Profile/ekkyf2018,1,19-Jun,Alun Alun Bandung,983
14343,Nyonya Suka Dolan,/Profile/nyonya_suka_dolan,1,19-Mar,Alun Alun Kota Batu,982
18131,Supriyanto,/Profile/Supriyanto_st,1,18-Jul,Alun-Alun Selatan,980
3880,Casa O,/Profile/casao267,1,19-Nov,Angel's Billabong,979
6245,Emile,/Profile/307emiled,1,Agt 2019,Angel's Billabong,979
10111,Jon_101,/Profile/Jon_101,1,19-Nov,Angel's Billabong,979
386,44ADS,/Profile/44ADS,1,20-Mar,Bali Collection,977
1755,andrewjoesoef,/Profile/andrewjoesoef,1,Des 2016,Bali Collection,977
7148,FionaTFN,/Profile/FionaTFN,1,Okt 2018,Bali Eco Tours,976
18392,Tamara B,/Profile/G4088WKtamarab,1,Okt 2018,Bali Eco Tours,976
5303,Diana,/Profile/dhianathea,1,Mei 2019,Bali Pulina - Pariwisata Pertanian,975
6021,Eka Permana,/Profile/EkaPermanaS,1,16-Jul,Bali Pulina - Pariwisata Pertanian,975
7319,Frankie P,/Profile/frankiep603,1,18-Nov,Bali Sea Turtle Society (BSTS),974
14834,Peter L,/Profile/G6268YRpeterl,1,19-Feb,Bali Sea Turtle Society (BSTS),974
14885,Philipp S,/Profile/N2832TEphilipps,1,19-Sep,Bali Sea Turtle Society (BSTS),974
14890,philipripieny,/Profile/philipripieny,1,18-Nov,Bali Sea Turtle Society (BSTS),974
19791,Wandering soles,/Profile/amitapan72,1,19-Apr,Bali Sea Turtle Society (BSTS),974
16785,Saliza,/Profile/SalizaManawan,1,19-Jul,Batu Secret Zoo (Jawa Timur Park 2),968
364,347dennisc,/Profile/347dennisc,1,16-Jan,Batur Natural Hotspring,967
513,A2Success,/Profile/A2Success,1,17-Mar,Batur Natural Hotspring,967
2580,Asi P,/Profile/734asip,1,17-Jul,Batur Natural Hotspring,967
3385,Billybayley,/Profile/Billybayley,1,Agt 2016,Batur Natural Hotspring,967
4037,Chatz,/Profile/DavidChatz,1,Des 2016,Batur Natural Hotspring,967
4285,Claire Annand,/Profile/claireannand,1,Agt 2017,Batur Natural Hotspring,967
8047,Handini P,/Profile/HandiniP1,1,17-Jan,Batur Natural Hotspring,967
8585,HolidayMelly,/Profile/HolidayMelly,1,17-Feb,Batur Natural Hotspring,967
10266,Julia F,/Profile/132juliaf,1,17-Apr,Batur Natural Hotspring,967
12871,MIFlyboy,/Profile/MIflyboy,1,Okt 2019,Batur Natural Hotspring,967
17349,Shehzaad K,/Profile/shezzyk7,1,17-Apr,Batur Natural Hotspring,967
17882,Stefany R,/Profile/StefanyR,1,16-Jul,Batur Natural Hotspring,967
19558,Victor M,/Profile/Y9994CXvictorm,1,17-Feb,Batur Natural Hotspring,967
2416,Aris H,/Profile/arishardi,1,17-Apr,Baywalk Mall,966
8875,Ikka W,/Profile/ikkaw2016,1,16-Mar,Baywalk Mall,966
10058,John T,/Profile/johntP1956RY,1,Mei 2019,Baywalk Mall,966
14556,Ozzie T,/Profile/OzzieT51,1,Mei 2019,Baywalk Mall,966
4643,Danny,/Profile/Dannyngdan,1,Mei 2019,Beji Guwang Hidden Canyon,965
9712,Jeanne D,/Profile/612jeanned,1,17-Jul,Beji Guwang Hidden Canyon,965
1614,AndalusiaHalim,/Profile/AndalusiaHalim,1,18-Nov,Benteng Kuto Besak,964
319,181ShellBell,/Profile/181ShellBell,1,Mei 2017,Biorock Pemuteran bali - Menyelam,962
3193,Beauy,/Profile/beauyandthefam,1,19-Apr,Biorock Pemuteran bali - Menyelam,962
3246,ben0820,/Profile/ben0820,1,Des 2018,Biorock Pemuteran bali - Menyelam,962
17726,Sofyan,/Profile/Sofyan4114,1,Okt 2019,Blok M Square,961
6871,fathihelmi11,/Profile/fathihelmi11,1,Okt 2018,Botani Square,960
7638,gie515,/Profile/gie515,1,16-Jan,Botani Square,960
252,@regiljulian,/Profile/regiljulian,1,19-Mar,Cinemaxx Theater Lippo Mall Kuta,948
3951,Cempaka,/Profile/Cempaka86,1,19-Jun,Cinemaxx Theater Lippo Mall Kuta,948
20161,Wisnu Shin,/Profile/wshin93,1,16-Feb,Cinemaxx Theater Lippo Mall Kuta,948
2925,b0yb0y,/Profile/b0yb0y,1,16-Mar,Ciputra Waterpark,947
3685,Bullo_14,/Profile/Bullo_14,1,15-Sep,Circus Waterpark Bali,946
3756,cahya l,/Profile/cahyal2015,1,Des 2016,Circus Waterpark Bali,946
3976,chachabali,/Profile/chachabali,1,Agt 2015,Circus Waterpark Bali,946
9995,Joel M,/Profile/Q9616LWjoelm,1,Agt 2019,Circus Waterpark Bali,946
12620,Melainie,/Profile/Melainie,1,Des 2015,Circus Waterpark Bali,946
18125,superditi,/Profile/superditi,1,Des 2015,Circus Waterpark Bali,946
8338,Hendrik G,/Profile/307hendrikg,1,15-Jul,Danau Batur,943
20357,yantowangge,/Profile/yantowangge,1,15-Sep,Danau Kelimutu (Danau Tiga Warna),940
3423,Bintang1122,/Profile/Bintang1122,1,17-Jan,Desa Tenganan Aga,935
4319,Cliff V,/Profile/CliffVV_12,1,Okt 2015,Desa Tenganan Aga,935
6169,EllaViv,/Profile/EllaViv,1,19-Jun,Desa Tenganan Aga,935
9785,Jennig16,/Profile/Jennig16,1,17-Jul,Desa Tenganan Aga,935
9898,Jill C,/Profile/g_crehan,1,17-Feb,Desa Tenganan Aga,935
10495,Kara T,/Profile/474karat,1,19-Jan,Desa Tenganan Aga,935
12644,meliau56,/Profile/meliau56,1,17-Apr,Desa Tenganan Aga,935
13708,Naune14,/Profile/Naune14,1,17-Jul,Desa Tenganan Aga,935
19073,TravelRealPrincess,/Profile/TravelRealPrincess,1,17-Apr,Desa Tenganan Aga,935
10538,karotoba03,/Profile/karotoba03,1,16-Feb,Desa Tenun Tradisional Sade,934
11489,Lilis L,/Profile/291lilisl,1,Mei 2018,Discovery Shopping Mall,932
9065,Indri K,/Profile/592indrik,1,16-Apr,DMZ Bali 3D Art Museum,931
9744,Jellyana_,/Profile/Jellyana_,1,Okt 2015,DMZ Bali 3D Art Museum,931
15534,Rans,/Profile/AgenkPutra,1,19-Jun,Dusun Bambu Family Leisure Park,929
18383,taliasiena,/Profile/taliasiena,1,Okt 2016,Farmhouse Bandung,928
800,Adneen R,/Profile/adneenr,1,Agt 2019,FO Rumah Mode,927
1329,alicevcarter2018,/Profile/alicevcarter2018,1,Okt 2018,FreeBird Express,926
4180,Christopher G,/Profile/ChristopherG126,1,17-Jul,FreeBird Express,926
4317,Claus H,/Profile/ClausH882,1,17-Jul,FreeBird Express,926
