id_objek,nama_objek,type_objek
999,AEON Mall BSD City,TEMPAT BELANJA
998,Agrowisata Teba Sari Bali,WISATA ALAM & TAMAN
997,Air Panas Banjar,WISATA ALAM & TAMAN
996,Air Terjun Aling-Aling,WISATA ALAM & TAMAN
995,Air Terjun Benang Stokal and Benang Kelambu,WISATA ALAM & TAMAN
994,Air Terjun Coban Rondo,WISATA ALAM & TAMAN
993,Air Terjun Cunca Wulang,WISATA ALAM & TAMAN
992,Air Terjun Kanto Lampo,WISATA ALAM & TAMAN
991,Air Terjun Madakaripura,WISATA ALAM & TAMAN
990,Air Terjun Nungnung,WISATA ALAM & TAMAN
989,Air Terjun Sendang Gile dan Tiu Kelep,WISATA ALAM & TAMAN
988,Air Terjun Sipiso Piso,WISATA ALAM & TAMAN
987,Air Terjun Sri Gethuk,WISATA ALAM & TAMAN
986,Air Terjun Tegenungan,WISATA ALAM & TAMAN
985,Air Terjun Tukad Cepung,WISATA ALAM & TAMAN
984,Airport Railink Services,TRANSPORTASI
983,Alun Alun Bandung,WISATA ALAM & TAMAN
982,Alun Alun Kota Batu,PEMANDANGAN & TENGARA
981,Alun Alun Kota Malang,PEMANDANGAN & TENGARA
980,Alun-Alun Selatan,PEMANDANGAN & TENGARA
979,Angel's Billabong,WISATA ALAM & TAMAN
978,Balai Sidang Jakarta Convention Center,SUMBER INFORMASI WISATAWAN
977,Bali Collection,TEMPAT BELANJA
976,Bali Eco Tours,WISATA ALAM & TAMAN
975,Bali Pulina - Pariwisata Pertanian,PEMANDANGAN & TENGARA
974,Bali Sea Turtle Society (BSTS),WISATA ALAM & TAMAN
973,Bali Theater,LAINNYA
972,Bali Wake Park,TAMAN AIR & TAMAN HIBURAN
971,Batu Night Spectacular (BNS),WISATA ALAM & TAMAN
970,Batu Raden,WISATA ALAM & TAMAN
969,Batu Ratapan Angin,WISATA ALAM & TAMAN
968,Batu Secret Zoo (Jawa Timur Park 2),KEBUN BINATANG & AKUARIUM
967,Batur Natural Hotspring,WISATA ALAM & TAMAN
966,Baywalk Mall,TEMPAT BELANJA
965,Beji Guwang Hidden Canyon,WISATA ALAM & TAMAN
964,Benteng Kuto Besak,PEMANDANGAN & TENGARA
963,Benteng Rotterdam,PEMANDANGAN & TENGARA
962,Biorock Pemuteran bali - Menyelam,WISATA ALAM & TAMAN
961,Blok M Square,TEMPAT BELANJA
960,Botani Square,TEMPAT BELANJA
959,Bukit Bintang,PEMANDANGAN & TENGARA
958,Campuhan Ridge Walk,PEMANDANGAN & TENGARA
957,Candi Arjuna,PEMANDANGAN & TENGARA
956,Candi Borobudur,PEMANDANGAN & TENGARA
955,Candi Cetho,PEMANDANGAN & TENGARA
954,Candi Ijo,PEMANDANGAN & TENGARA
953,Candi Prambanan,PEMANDANGAN & TENGARA
952,Candi Ratu Boko,PEMANDANGAN & TENGARA
951,Candi Sambisari,PEMANDANGAN & TENGARA
950,Central Park,TEMPAT BELANJA
949,Cihampelas Walk,TEMPAT BELANJA
948,Cinemaxx Theater Lippo Mall Kuta,KONSER & PERTUNJUKAN
947,Ciputra Waterpark,TAMAN AIR & TAMAN HIBURAN
946,Circus Waterpark Bali,TAMAN AIR & TAMAN HIBURAN
945,Coban Rondo,WISATA ALAM & TAMAN
944,Curug Cimahi,WISATA ALAM & TAMAN
943,Danau Batur,WISATA ALAM & TAMAN
942,Danau Beratan,WISATA ALAM & TAMAN
941,Danau Kaolin,WISATA ALAM & TAMAN
940,Danau Kelimutu (Danau Tiga Warna),WISATA ALAM & TAMAN
939,Danau Toba,WISATA ALAM & TAMAN
938,Dataran Tinggi Berastagi,PEMANDANGAN & TENGARA
937,Dataran Tinggi Dieng,WISATA ALAM & TAMAN
936,Desa Rammang-Rammang,WISATA ALAM & TAMAN
935,Desa Tenganan Aga,WISATA ALAM & TAMAN
934,Desa Tenun Tradisional Sade,PEMANDANGAN & TENGARA
933,Desa Wae Rebo,PEMANDANGAN & TENGARA
932,Discovery Shopping Mall,TEMPAT BELANJA
931,DMZ Bali 3D Art Museum,MUSEUM
930,Dunia Fantasi Ancol,TAMAN AIR & TAMAN HIBURAN
929,Dusun Bambu Family Leisure Park,PEMANDANGAN & TENGARA
928,Farmhouse Bandung,WISATA ALAM & TAMAN
927,FO Rumah Mode,TEMPAT BELANJA
926,FreeBird Express,TRANSPORTASI
925,Gandaria City Mall,TEMPAT BELANJA
924,Garlic Lane,LAINNYA
923,Gedung Bank Indonesia,PEMANDANGAN & TENGARA
922,Gedung Lawang Sewu,PEMANDANGAN & TENGARA
921,Gedung Sate,PEMANDANGAN & TENGARA
920,Gelanggang Samudra Ancol,TAMAN AIR & TAMAN HIBURAN
919,Gereja Blenduk,PEMANDANGAN & TENGARA
918,Gereja Ganjuran,PEMANDANGAN & TENGARA
917,Gili Getaway,TRANSPORTASI
916,Gili Gili Fast Boat,TAMAN AIR & TAMAN HIBURAN
915,Gili Trawangan Island,WISATA ALAM & TAMAN
914,Goa Batu Cermin,WISATA ALAM & TAMAN
913,Goa Gajah,WISATA ALAM & TAMAN
912,Goa Jepang,WISATA ALAM & TAMAN
911,Goa Jomblang,WISATA ALAM & TAMAN
910,Graha Bunda Maria Annai Velangkanni,PEMANDANGAN & TENGARA
909,Grand Indonesia Mall,TEMPAT BELANJA
908,Grojogan Sewu,WISATA ALAM & TAMAN
907,Gua Pindul,WISATA ALAM & TAMAN
906,Gunung Agung,WISATA ALAM & TAMAN
905,Gunung Api Semeru,WISATA ALAM & TAMAN
904,Gunung Batur,WISATA ALAM & TAMAN
903,Gunung Bromo,WISATA ALAM & TAMAN
902,Gunung Kawi,PEMANDANGAN & TENGARA
901,Gunung Kelimutu,WISATA ALAM & TAMAN
900,Gunung Merapi,WISATA ALAM & TAMAN
899,Gunung Penanjakan,WISATA ALAM & TAMAN
898,Gunung Rinjani,WISATA ALAM & TAMAN
897,Gunung Sibayak,WISATA ALAM & TAMAN
896,Gunung Sikunir,WISATA ALAM & TAMAN
895,Hardy's Sanur,TEMPAT BELANJA
894,Hartono Mall Yogyakarta,TEMPAT BELANJA
893,Hutan Bakau,WISATA ALAM & TAMAN
892,Hutan Bakau Nusa Lembongan,WISATA ALAM & TAMAN
891,Hutan Pinus Imogiri,WISATA ALAM & TAMAN
890,Indonesia Convention Exhibition (ICE BSD),SUMBER INFORMASI WISATAWAN
889,Institut Teknologi Bandung,PEMANDANGAN & TENGARA
888,Istana Bogor,MUSEUM
887,Istana Maimun,PEMANDANGAN & TENGARA
886,Istana Pagaruyung,PEMANDANGAN & TENGARA
885,Istana Puri Saren,PEMANDANGAN & TENGARA
884,ITC Mangga Dua,TEMPAT BELANJA
883,Jalan Asia Afrika,LAINNYA
882,Jalan Braga,LAINNYA
881,Jalan Legian,TEMPAT BELANJA
880,Jalan Malioboro,TEMPAT BELANJA
879,Jam Gadang Bukittinggi,PEMANDANGAN & TENGARA
878,Jatiluwih Warisan Budaya Dunia,MUSEUM
877,Jawa Timur Park 3,TAMAN AIR & TAMAN HIBURAN
876,Jembatan Ampera,PEMANDANGAN & TENGARA
875,Jembatan Barelang,PEMANDANGAN & TENGARA
874,Jembatan Suramadu,PEMANDANGAN & TENGARA
873,Jogja Bay Pirates Adventure Waterpark,TAMAN AIR & TAMAN HIBURAN
872,Jogja City Mall,TEMPAT BELANJA
871,JungleLand Adventure Theme Park,TAMAN AIR & TAMAN HIBURAN
870,Kampoeng Batik Laweyan,PEMANDANGAN & TENGARA
869,Kampung Gajah,TAMAN AIR & TAMAN HIBURAN
868,Kampung Sasak,WISATA ALAM & TAMAN
867,Kampung Warna-Warni Jodipan,LAINNYA
866,Kapal Karam USS Liberty,WISATA ALAM & TAMAN
865,Kapal Tsunami,PEMANDANGAN & TENGARA
864,Katedral Jakarta,PEMANDANGAN & TENGARA
863,Katedral Santo Petrus,PEMANDANGAN & TENGARA
862,Kawah Ijen,WISATA ALAM & TAMAN
861,Kawah Putih,WISATA ALAM & TAMAN
860,Kebun Begonia,WISATA ALAM & TAMAN
859,Kebun Binatang Bandung,KEBUN BINATANG & AKUARIUM
858,Kebun Binatang Gembira Loka,KEBUN BINATANG & AKUARIUM
857,Kebun Binatang Ragunan,KEBUN BINATANG & AKUARIUM
856,Kebun Binatang Surabaya (KBS),KEBUN BINATANG & AKUARIUM
855,Kebun Buah Mangunan Yogyakarta,WISATA ALAM & TAMAN
854,Kebun Kopi Satria,PEMANDANGAN & TENGARA
853,Kebun Raya Bogor,WISATA ALAM & TAMAN
852,Kebun Raya Cibodas,WISATA ALAM & TAMAN
851,Kebun Teh Malino,PEMANDANGAN & TENGARA
850,Kemenuh Butterfly Park,WISATA ALAM & TAMAN
849,Kepulauan Derawan,WISATA ALAM & TAMAN
848,Kepulauan Gili,WISATA ALAM & TAMAN
847,Kepulauan Raja Ampat,WISATA ALAM & TAMAN
846,Keraton Kasepuhan,PEMANDANGAN & TENGARA
845,Ketep Pass,PEMANDANGAN & TENGARA
844,Kintamani Highland,WISATA ALAM & TAMAN
843,Klenteng Sam Po Kong (Gedong Batu),PEMANDANGAN & TENGARA
842,Kompleks Candi Muaro Jambi,PEMANDANGAN & TENGARA
841,Kota Kasablanka,TEMPAT BELANJA
840,Kota Lama Semarang,PEMANDANGAN & TENGARA
839,Kota Station,LAINNYA
838,Kota Tua Jakarta,PEMANDANGAN & TENGARA
837,Kraton Surakarta Hadiningrat,PEMANDANGAN & TENGARA
836,Kraton Yogyakarta,MUSEUM
835,Kuntum Farmfield,PEMANDANGAN & TENGARA
834,Kuta Square,LAINNYA
833,Lembah Harau,WISATA ALAM & TAMAN
832,Lippo Mall Puri at Saint Moritz,TEMPAT BELANJA
831,Luwak Coffee Bali Plantation,PEMANDANGAN & TENGARA
830,Makam Gua Londa,PEMANDANGAN & TENGARA
829,Mal Bali Galeria,TEMPAT BELANJA
828,Mal Galaxy,TEMPAT BELANJA
827,Mal Kelapa Gading,TEMPAT BELANJA
826,Malioboro Mall,TEMPAT BELANJA
825,Mall Ambassador,TEMPAT BELANJA
824,Mall Ayani Mega,TEMPAT BELANJA
823,Mall Grand Metropolitan,TEMPAT BELANJA
822,Mall Ska Pekanbaru,TEMPAT BELANJA
821,Mall Taman Anggrek,TEMPAT BELANJA
820,Mandala Suci Wenara Wana,WISATA ALAM & TAMAN
819,Masjid Agung Jami Malang,PEMANDANGAN & TENGARA
818,Masjid Agung Jawa Tengah,PEMANDANGAN & TENGARA
817,Masjid Agung Palembang,PEMANDANGAN & TENGARA
816,Masjid Agung Trans Studio Bandung,PEMANDANGAN & TENGARA
815,Masjid Islamic Center Samarinda,PEMANDANGAN & TENGARA
814,Masjid Istiqlal,PEMANDANGAN & TENGARA
813,Masjid Raya At-Taqwa,PEMANDANGAN & TENGARA
812,Masjid Raya Mujahidin,PEMANDANGAN & TENGARA
